Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,home_team_substitution_why,referee,venue,capacity,attendance
England,premier-league,Arsenal,Liverpool,2,2,2024/2025,27.10,19:30,2 - 1,0 - 1,"[""9'"", ""43'""]","['1 - 0', '2 - 1']","['Saka B.', 'Merino M.']","['(White B.)', '(Rice D.)']","[""18'"", ""81'""]","['1 - 1', '2 - 2']","['van Dijk V.', 'Salah M.']","['(Diaz L.)', '(Nunez D.)']","[""66'"", ""90+8'""]","['Raya D.', 'Gabriel Jesus']","['(Unsportsmanlike conduct)', '(Not on pitch, Unsportsmanlike conduct)']","[""33'"", ""72'"", ""90+4'""]","['Mac Allister A.', 'Slot A.', 'Nunez D.']","['(Roughing)', '(Not on pitch)', '(Tripping)']",[],[],[],[],[],[],"[""54'"", ""76'"", ""85'"", ""85'""]","['Kiwior J.', 'Lewis-Skelly M.', 'Gabriel Jesus', 'Nwaneri E.']","['Gabriel', 'Timber J.', 'Saka B.', 'Martinelli G.']","['(Injury)', '-', '-', '-']","[""63'"", ""63'"", ""63'"", ""90+1'""]","['Tsimikas K.', 'Gakpo C.', 'Szoboszlai D.', 'Endo W.']","['Robertson A.', 'Diaz L.', 'Mac Allister A.', 'Jones C.']","['-', '-', '-', '-']",Taylor A.  (Eng),Emirates Stadium  (London),60 704,60 383
England,premier-league,Chelsea,Newcastle,2,1,2024/2025,27.10,17:00,1 - 1,1 - 0,"[""18'"", ""47'""]","['1 - 0', '2 - 1']","['Jackson N.', 'Palmer C.']","['(Neto P.)', '(Lavia R.)']","[""32'""]",['1 - 1'],['Isak A.'],['(Hall L.)'],"[""11'"", ""54'"", ""65'"", ""84'"", ""88'"", ""90+4'"", ""90+4'""]","['Fofana W.', 'Lavia R.', 'Madueke N.', 'Sanchez R.', 'Neto P.', 'Nkunku C.', 'Maresca E.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Tripping)', '(Delay of game)', '(Tripping)', '(Tripping)', '(Not on pitch)']","[""22'"", ""64'"", ""90'""]","['Schar F.', 'Tonali S.', 'Longstaff S.']","['(Roughing)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)']",[],[],[],[],[],[],"[""67'"", ""72'"", ""78'"", ""78'""]","['Mudryk M.', 'Fernandez E.', 'Cucurella M.', 'Nkunku C.']","['Madueke N.', 'Lavia R.', 'Gusto M.', 'Jackson N.']","['-', '-', '-', '-']","[""68'"", ""68'"", ""68'"", ""89'"", ""89'""]","['Murphy J.', 'Longstaff S.', 'Willock J.', 'Osula W.', 'Kelly L.']","['Almiron M.', 'Tonali S.', 'Barnes H.', 'Joelinton', 'Hall L.']","['-', '-', '-', '-', '-']",Hooper S.  (Eng),Stamford Bridge  (London),40 341,39 526
England,premier-league,Crystal Palace,Tottenham,1,0,2024/2025,27.10,17:00,1 - 0,0 - 0,"[""31'""]",['1 - 0'],['Mateta J.'],['(Eze E.)'],[],[],[],[],"[""32'"", ""41'"", ""61'"", ""77'""]","['Mateta J.', 'Munoz D.', 'Lacroix M.', 'Hughes W.']","['(Roughing)', '(Tripping)', '(Unsportsmanlike conduct)', '(Foul)']","[""37'"", ""52'"", ""65'"", ""85'""]","['Kulusevski D.', 'Johnson B.', 'van de Ven M.', 'Richarlison']","['(Foul)', '(Roughing)', '(Foul)', '(Roughing)']",[],[],[],[],[],[],"[""22'"", ""67'"", ""88'""]","['Hughes W.', 'Nketiah E.', 'Kamada D.']","['Lerma J.', 'Sarr I.', 'Wharton A.']","['(Injury)', '-', '-']","[""62'"", ""62'"", ""62'"", ""87'""]","['Richarlison', 'Werner T.', 'Sarr P. M.', 'Bentancur R.']","['Maddison J.', 'Moore M.', 'Kulusevski D.', 'Bissouma Y.']","['-', '-', '-', '-']",Bond D.  (Eng),Selhurst Park  (London),25 486,25 180
England,premier-league,West Ham,Manchester Utd,2,1,2024/2025,27.10,17:00,0 - 0,2 - 1,"[""74'"", ""90+2'""]","['1 - 0', '2 - 1']","['Summerville C.', 'Bowen J.']","['(Ings D.)', '(Penalty)']","[""81'""]",['1 - 1'],['Casemiro'],['(Zirkzee J.)'],"[""25'"", ""30'"", ""74'"", ""90+5'"", ""90+6'""]","['Paqueta L.', 'Mavropanos K.', 'Summerville C.', 'Emerson', 'Cresswell A.']","['(Unsportsmanlike conduct)', '(Tripping)', '(Unsportsmanlike conduct)', '(Tripping)', '(Delay of game)']","[""59'""]",['de Ligt M.'],['(Roughing)'],[],[],[],[],[],[],"[""46'"", ""46'"", ""46'"", ""71'"", ""90+4'""]","['Todibo J.', 'Soucek T.', 'Summerville C.', 'Ings D.', 'Cresswell A.']","['Mavropanos K.', 'Paqueta L.', 'Soler C.', 'Antonio M.', 'Rodriguez G.']","['-', '-', '-', '-', '-']","[""59'"", ""79'"", ""84'""]","['Diallo A.', 'Zirkzee J.', 'Lindelof V.']","['Rashford M.', 'Eriksen C.', 'Mazraoui N.']","['-', '-', '(Injury)']",Coote D.  (Eng),London Stadium  (London),62 500,62 474
England,premier-league,Everton,Fulham,1,1,2024/2025,26.10,19:30,0 - 0,1 - 1,"[""90+4'""]",['1 - 1'],['Beto'],['(Young A.)'],"[""61'""]",['0 - 1'],['Iwobi A.'],['(Smith Rowe E.)'],"[""76'""]",['Tarkowski J.'],['(Roughing)'],[],[],[],[],[],[],[],[],[],"[""68'"", ""80'"", ""81'"", ""86'""]","['Lindstrom J.', 'Mangala O.', 'Beto', 'Branthwaite J.']","['Harrison J.', 'Doucoure A.', 'Calvert-Lewin D.', 'McNeil D.']","['-', '-', '-', '(Injury)']","[""68'"", ""79'"", ""79'"", ""90+2'"", ""90+2'""]","['Nelson R.', 'Wilson H.', 'Reed H.', 'Rodrigo Muniz', 'Cuenca J.']","['Traore A.', 'Pereira A.', 'Smith Rowe E.', 'Jimenez R.', 'Iwobi A.']","['-', '-', '-', '-', '-']",Brooks J.  (Eng),Goodison Park  (Liverpool),39 572,38 742
England,premier-league,Aston Villa,Bournemouth,1,1,2024/2025,26.10,17:00,0 - 0,1 - 1,"[""76'""]",['1 - 0'],['Barkley R.'],['(Bailey L.)'],"[""90+6'""]",['1 - 1'],['Evanilson'],['(Tavernier M.)'],"[""4'"", ""18'"", ""41'"", ""55'"", ""58'"", ""90+4'"", ""90+6'""]","['Onana A.', 'Tielemans Y.', 'Ramsey J.', 'McGinn J.', 'Digne L.', 'Cash M.', 'Barkley R.']","['(Roughing)', '(Tripping)', '(Tripping)', '(Foul)', '(Tripping)', '(Tripping)', '(Tripping)']","[""10'"", ""21'"", ""39'"", ""45+1'"", ""80'"", ""90'""]","['Kluivert J.', 'Araujo J.', 'Smith A.', 'Unal E.', 'Semenyo A.', 'Tavernier M.']","['(Roughing)', '(Tripping)', '(Holding)', '(Delay of game)', '(Diving)', '(Foul)']",[],[],[],[],[],[],"[""46'"", ""57'"", ""71'"", ""71'"", ""82'""]","['Barkley R.', 'Duran J.', 'Bailey L.', 'Maatsen I.', 'Kamara B.']","['Onana A.', 'Rogers M.', 'McGinn J.', 'Digne L.', 'Watkins O.']","['-', '-', '-', '-', '-']","[""30'"", ""64'"", ""64'"", ""81'"", ""81'""]","['Smith A.', 'Tavernier M.', 'Evanilson', 'Brooks D.', 'Adams T.']","['Araujo J.', 'Kluivert J.', 'Unal E.', 'Kerkez M.', 'Christie R.']","['-', '-', '-', '-', '-']",Kavanagh C.  (Eng),Villa Park  (Birmingham),42 789,
England,premier-league,Brentford,Ipswich,4,3,2024/2025,26.10,17:00,2 - 2,2 - 1,"[""44'"", ""45+1'"", ""51'"", ""90+6'""]","['1 - 2', '2 - 2', '3 - 2', '4 - 3']","['Wissa Y.', 'Wissa Y.', 'Mbeumo B.', 'Mbeumo B.']","['(Janelt V.)', '(Damsgaard M.)', '(Penalty)', '(Roerslev Rasmussen M.)']","[""28'"", ""31'"", ""86'""]","['0 - 1', '0 - 2', '3 - 3']","['Szmodics S.', 'Hirst G.', 'Delap L.']","['(Hirst G.)', '(Chaplin C.)', '(Davis L.)']",[],[],[],"[""42'"", ""49'""]","['Davis L.', 'Clarke H.']","['(Foul)', '(Holding)']",[],[],[],"[""69'""]",['Clarke H.'],['(Tripping)'],"[""77'"", ""78'"", ""81'""]","['Schade K.', 'Jensen M.', 'Carvalho F.']","['Damsgaard M.', 'Norgaard C.', 'Lewis-Potter K.']","['-', '-', '-']","[""35'"", ""73'"", ""73'"", ""73'"", ""90'""]","['Burns W.', 'Delap L.', 'Clarke J.', 'Woolfenden L.', 'Townsend C.']","['Ogbene C.', 'Hirst G.', 'Szmodics S.', 'Chaplin C.', 'Cajuste J.']","['(Injury)', '-', '-', '-', '-']",Smith L.  (Eng),Brentford Community Stadium  (London),17 250,17 109
England,premier-league,Brighton,Wolves,2,2,2024/2025,26.10,17:00,1 - 0,1 - 2,"[""45'"", ""85'""]","['1 - 0', '2 - 0']","['Welbeck D.', 'Ferguson E.']","['(Rutter G.)', '(Lamptey T.)']","[""88'"", ""90+3'""]","['2 - 1', '2 - 2']","['Ait-Nouri R.', 'Cunha M.']","['-', '(Doyle T.)']","[""56'"", ""70'"", ""74'""]","['Rutter G.', 'Igor', 'Estupinan P.']","['(Roughing)', '(Roughing)', '(Unsportsmanlike conduct)']","[""41'"", ""45+3'"", ""50'""]","['Toti', 'Larsen J. S.', 'Ait-Nouri R.']","['(Holding)', '(Holding)', '(Roughing)']",[],[],[],[],[],[],"[""72'"", ""73'"", ""80'"", ""80'"", ""89'""]","['Gruda B.', 'Ferguson E.', 'Wieffer M.', 'Lamptey T.', 'Enciso J.']","['Kadioglu F.', 'Welbeck D.', 'Baleba C.', 'Rutter G.', 'Mitoma K.']","['-', '-', '-', '-', '-']","[""46'"", ""46'"", ""90+1'"", ""90+4'"", ""90+5'""]","['Forbs C.', 'Sarabia P.', 'Guedes G.', 'Andre', 'Gomes R.']","['Toti', 'Lemina M.', 'Gomes J.', 'Larsen J. S.', 'Forbs C.']","['-', '-', '-', '-', '-']",Oliver M.  (Eng),Amex Stadium  (Brighton),31 876,31 840
England,premier-league,Manchester City,Southampton,1,0,2024/2025,26.10,17:00,1 - 0,0 - 0,"[""5'""]",['1 - 0'],['Haaland E.'],['(Nunes M.)'],[],[],[],[],"[""88'""]",['Kovacic M.'],['(Tripping)'],"[""42'"", ""43'"", ""48'"", ""56'""]","['Downes F.', 'Martin R.', 'Armstrong A.', 'Lallana A.']","['(Tripping)', '(Not on pitch)', '(Roughing)', '(Unsportsmanlike conduct)']",[],[],[],[],[],[],"[""86'"", ""90+7'""]","['Gundogan I.', 'Stones J.']","['Nunes M.', 'Lewis R.']","['-', '-']","[""46'"", ""60'"", ""77'"", ""87'"", ""87'""]","['Armstrong A.', 'Aribo J.', 'Bree J.', 'Sulemana K.', 'Onuachu P.']","['Dibling T.', 'Lallana A.', 'Manning R.', 'Downes F.', 'Archer C.']","['-', '-', '-', '-', '-']",Harrington T.  (Eng),Etihad Stadium  (Manchester),55 097,52 844
England,premier-league,Leicester,Nottingham,1,3,2024/2025,25.10,22:00,1 - 1,0 - 2,"[""23'""]",['1 - 1'],['Vardy J.'],['(Winks H.)'],"[""16'"", ""47'"", ""60'""]","['0 - 1', '1 - 2', '1 - 3']","['Yates R.', 'Wood Ch.', 'Wood Ch.']","['-', '(Anderson E.)', '-']","[""35'"", ""46'"", ""58'"", ""88'"", ""90+4'""]","['Pereira R.', 'Mavididi S.', 'Winks H.', 'Ayew J.', 'Soumare B.']","['(Tripping)', '(Holding)', '(Holding)', '(Tripping)', '(Tripping)']","[""41'"", ""78'"", ""90+5'""]","['Moreno A.', 'Dominguez N.', 'Milenkovic N.']","['(Roughing)', '(Foul)', '(Unsportsmanlike conduct)']",[],[],[],[],[],[],"[""68'"", ""68'"", ""74'""]","['El Khannouss B.', 'Ayew J.', 'Soumare B.']","['Pereira R.', 'Mavididi S.', 'Ndidi W.']","['-', '-', '-']","[""72'"", ""72'"", ""76'"", ""76'"", ""81'""]","['Williams N.', 'Morato', 'Sosa R.', 'Jota Silva', 'Awoniyi T.']","['Anderson E.', 'Moreno A.', 'Hudson-Odoi C.', 'Elanga A.', 'Wood Ch.']","['-', '-', '-', '-', '-']",Pawson C.  (Eng),King Power Stadium  (Leicester),32 261,31 879
