,Country,League
0,Albania,Abissnet Superiore
1,Albania,Kategoria e Parë
2,Albania,Albanian Cup
3,Albania,Super Cup
4,Algeria,Ligue 1
5,Algeria,Ligue 2
6,Algeria,Algeria Cup
7,Algeria,Coupe de la Ligue
8,Algeria,Super Cup
9,Algeria,U21 League
10,Andorra,Primera Divisió
11,Andorra,Andorra Cup
12,Andorra,Super Cup
13,Angola,Girabola
14,Angola,Super Cup
15,Antigua & Barbuda,ABFA Premier League
16,Argentina,Torneo Betano
17,Argentina,Copa de la Liga Profesional
18,Argentina,Primera Nacional
19,Argentina,Torneo Federal
20,Argentina,Primera B
21,Argentina,Primera C
22,Argentina,Torneo Promocional Amateur
23,Argentina,Copa Argentina
24,Argentina,Super Cup
25,Argentina,International Super Cup
26,Argentina,Trofeo de Campeones
27,Argentina,Reserve League
28,Argentina,Torneos De Verano
29,Argentina,Primera A Women
30,Armenia,Premier League
31,Armenia,First League
32,Armenia,Armenian Cup
33,Armenia,Super Cup
34,Aruba,Division di Honor
35,Australia,A-League
36,Australia,NPL ACT
37,Australia,NPL Northern NSW
38,Australia,NPL NSW
39,Australia,NPL Queensland
40,Australia,NPL South Australia
41,Australia,NPL Tasmania
42,Australia,NPL Victoria
43,Australia,NPL Western Australia
44,Australia,NPL Finals Series
45,Australia,Capital Premier League
46,Australia,Northern NSW State League
47,Australia,NSW League One
48,Australia,Queensland Premier League
49,Australia,SA State League
50,Australia,Tasmania Northern Championship
51,Australia,Tasmania Southern Championship
52,Australia,Victoria Premier League
53,Australia,WA State League
54,Australia,Australia Cup
55,Australia,Y-League
56,Australia,A-League Women
57,Austria,Bundesliga
58,Austria,2. Liga
59,Austria,Regionalliga East
60,Austria,Regionalliga Central
61,Austria,Regionalliga West
62,Austria,Burgenland
63,Austria,Karnten
64,Austria,Niederosterreich
65,Austria,Oberosterreich
66,Austria,Salzburg
67,Austria,Steiermark
68,Austria,Tirol
69,Austria,Vorarlberg
70,Austria,Wien
71,Austria,OFB Cup
72,Austria,Bundesliga Women
73,Austria,OFB Cup Women
74,Azerbaijan,Premier League
75,Azerbaijan,I Liqa
76,Azerbaijan,Azerbaijan Cup
77,Azerbaijan,Super Cup
78,Bahrain,Premier League
79,Bahrain,King's Cup
80,Bahrain,Bahrain Cup
81,Bahrain,Super Cup
82,Bangladesh,Premier League
83,Bangladesh,Federation Cup
84,Barbados,Premier League
85,Belarus,Vysshaya Liga
86,Belarus,Pershaya Liga
87,Belarus,Belarusian Cup
88,Belarus,Super Cup
89,Belarus,Vysshaya Liga Women
90,Belgium,Jupiler Pro League
91,Belgium,Challenger Pro League
92,Belgium,National Division 1 - ACFF
93,Belgium,National Division 1 - VV
94,Belgium,Second Amateur Division Group ACFF
95,Belgium,Second Amateur Division Group VFV A
96,Belgium,Second Amateur Division Group VFV B
97,Belgium,Second Amateur Division Play Offs
98,Belgium,Belgian Cup
99,Belgium,Super Cup
100,Belgium,Pro League U21
101,Belgium,Super League Women
102,Belgium,1st National Women
103,Belgium,Belgian Cup Women
104,Benin,Ligue 1
105,Bermuda,Premier League
106,Bhutan,Premier League
107,Bolivia,Division Profesional
108,Bolivia,Nacional B
109,Bolivia,League Cup
110,Bosnia and Herzegovina,WWIN Liga BiH
111,Bosnia and Herzegovina,Prva Liga - FBiH
112,Bosnia and Herzegovina,Prva Liga - RS
113,Bosnia and Herzegovina,Bosnia and Herzegovina Cup
114,Botswana,Premier League
115,Brazil,Serie A Betano
116,Brazil,Serie B
117,Brazil,Serie C
118,Brazil,Serie D
119,Brazil,Acreano
120,Brazil,Alagoano
121,Brazil,Alagoano 2
122,Brazil,Amapaense
123,Brazil,Amazonense
124,Brazil,Amazonense 2
125,Brazil,Baiano
126,Brazil,Baiano 2
127,Brazil,Brasiliense
128,Brazil,Brasiliense 2
129,Brazil,Capixaba
130,Brazil,Capixaba 2
131,Brazil,Carioca
132,Brazil,Carioca 2
133,Brazil,Carioca B1
134,Brazil,Carioca B2
135,Brazil,Carioca C
136,Brazil,Catarinense
137,Brazil,Catarinense 2
138,Brazil,Catarinense 3
139,Brazil,Cearense
140,Brazil,Cearense 2
141,Brazil,Cearense 3
142,Brazil,Gaucho
143,Brazil,Gaucho 2
144,Brazil,Gaucho 3
145,Brazil,Goiano
146,Brazil,Goiano 2
147,Brazil,Goiano 3
148,Brazil,Maranhense
149,Brazil,Maranhense 2
150,Brazil,Matogrossense
151,Brazil,Matogrossense 2
152,Brazil,Mineiro
153,Brazil,Mineiro 2
154,Brazil,Mineiro 3
155,Brazil,Paraense
156,Brazil,Paraense B1
157,Brazil,Paraense B2
158,Brazil,Paraibano
159,Brazil,Paraibano 2
160,Brazil,Paranaense
161,Brazil,Paranaense 2
