Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals,away_team_goals,home_team_substitutions,away_team_substitutions,home_team_yellow_card,away_team_yellow_card,home_team_red_card,away_team_red_card,referee,venue,capacity,attendance
Turkey,super-lig,Eskisehirspor,Antalyaspor,3,1,2012/2013,19.05,19:00,2 - 0,1 - 1,"[""7' 1 - 0 Cek O."", ""20' 2 - 0 Cek O."", ""62' 3 - 0 Kamara D.""]","[""82' 3 - 1 Sismanoglu O.""]","[""54' Nuhiu A. Potuk A."", ""65' Senturk E. Causic G."", ""77' Kara A. Zengin E.""]","[""46' Yildirim Z. Bassan E.""]","[""90' Coskun S.""]",[],[],[],,,,
Turkey,super-lig,Kayserispor,Besiktas,2,0,2012/2013,19.05,19:00,0 - 0,2 - 0,"[""70' 1 - 0 Arica Y."", ""86' 2 - 0 Bobo""]",[],"[""64' Arica Y. Gungor E."", ""73' Biseswar D. Cleyton"", ""88' Yokuslu O. Simic M.""]","[""68' Dentinho Kas E."", ""79' Almeida H. Pektemek M."", ""84' Demirci M. Sahan O.""]","[""31' Simic M."", ""62' Cleyton"", ""90' Yokuslu O.""]",[],[],[],,,,
Turkey,super-lig,Genclerbirligi,Bursaspor,2,2,2012/2013,19.05,16:00,2 - 1,0 - 1,"[""16' 1 - 1 Ozgur I."", ""24' 2 - 1 Zec E.""]","[""7' 0 - 1 Kiraz F."", ""76' 2 - 2 Yildirim M.""]","[""45' Ehiosun E. Azofeifa R.""]","[""41' Soyalp F. Kilic D.""]","[""46' Petrovic R."", ""75' Ozgur I.""]",[],[],[],,,,
Turkey,super-lig,Elazigspor,Sivasspor,0,0,2012/2013,19.05,13:30,0 - 0,0 - 0,[],[],"[""46' Kalemci A. Sesar I."", ""67' Sarp M. Kalemci A."", ""78' Alkasi A. Kaloglu S.""]","[""54' Kocak A. Piech A."", ""78' Ozkara C. Arslan H."", ""82' Nas M. Kilic E.""]",[],[],[],[],,,,
Turkey,super-lig,Galatasaray,Trabzonspor,2,0,2012/2013,18.05,19:05,1 - 0,1 - 0,"[""34' 1 - 0 Riera A."", ""52' 2 - 0 Yilmaz B.""]",[],"[""40' Amrabat N. Felipe Melo"", ""81' Elmander J. Drogba D."", ""82' Bulut U. Altintop H.""]","[""46' Cech M. Kacar G."", ""46' Adin O. Mierzejewski A."", ""64' Aydogdu S. Sapara M.""]",[],[],[],[],,,,
Turkey,super-lig,Basaksehir,Kasimpasa,1,2,2012/2013,18.05,19:00,1 - 0,0 - 2,"[""2' 1 - 0 Kose T.""]","[""55' 1 - 1 Djalma"", ""89' 1 - 2 Colak I. H.""]","[""46' Korkmaz Z. Pekturk T."", ""59' Visca E. Geraldes"", ""82' Sokullu O. C. Eksioglu E.""]","[""67' Ibricic S. Hurmaci O."", ""69' Colak I. H. Buyuk A."", ""78' Kala H. Uche K.""]","[""50' Zenke S.""]",[],[],[],,,,
Turkey,super-lig,Kardemir Karabuk,Fenerbahce,3,2,2012/2013,18.05,19:00,0 - 1,3 - 1,"[""47' LuaLua L."", ""50' Ozek A."", ""77' LuaLua L.""]","[""33' Topuz M."", ""75' Webo P.""]","[""46' Soyler H. Mabiala L."", ""47' Parlak I. Shelton L."", ""68' Ozmert H. Unal G.""]","[""71' Stoch M. Topal M."", ""82' Erkin C. Baroni C."", ""88' Senturk S. Sow M.""]","[""12' Incedemir Y."", ""21' Ozgenc E."", ""23' Seric A."", ""51' Demircan A."", ""84' Soyler H."", ""88' Tomic V.""]",[],[],[],,,,
Turkey,super-lig,Orduspor,Akhisarspor,0,2,2012/2013,18.05,19:00,0 - 1,0 - 1,[],"[""39' 0 - 1 Bruno Mezenga"", ""50' 0 - 2 Bruno Mezenga""]","[""46' Torun M. Cokmus F."", ""74' Pekdemir E. Stancu B."", ""85' Demiregen B. Barral D.""]","[""62' Bulut K. Bruno Mezenga"", ""62' Aladag E. Vardar S."", ""83' Asan M. Yuce M.""]","[""68' Oztorun F.""]",[],[],[],,,,
Turkey,super-lig,Mersin,Gaziantepspor,1,2,2012/2013,17.05,20:00,0 - 2,1 - 0,"[""72' 1 - 2 Ben Yahia W.""]","[""27' 0 - 1 Sahin T."", ""30' 0 - 2 Tosun C.""]","[""46' Kalender B. C. Mert Nobre"", ""68' Ozokwo N. Culio E.""]","[""61' Yasar I. H. Delibalta O."", ""84' Keser I. H. Ozbayraktar S.""]","[""44' Culio E.""]",[],[],[],,,,
Turkey,super-lig,Bursaspor,Eskisehirspor,0,0,2012/2013,13.05,20:05,0 - 0,0 - 0,[],[],"[""70' Sanli T. Kiraz F."", ""71' Basser M. Pinto S."", ""83' Erdogan O. Ozbayrakli S.""]","[""58' Demirhan S. Dede"", ""82' Cek O. Ates N."", ""86' Nuhiu A. Potuk A.""]","[""28' Pinto S."", ""65' Ozbayrakli S."", ""90' Gokcek Vederson"", ""90+3' Ferdinand A.""]",[],[],[],,,,
Turkey,super-lig,Akhisarspor,Mersin,1,0,2012/2013,13.05,20:00,0 - 0,1 - 0,"[""88' 1 - 0 Gekas T.""]",[],"[""19' Vardar S. Cebe A."", ""57' Aladag E. Atan C."", ""73' Bulut K. Bruno Mezenga""]","[""46' Ben Yahia W. Tozlu E."", ""84' Ceylan M. Kayhan T.""]","[""59' Bruno Mezenga"", ""75' Yuce M."", ""90+2' Vural G."", ""90+3' Atan C."", ""90+3' Kisa B.""]",[],[],[],,,,
Turkey,super-lig,Sivasspor,Kardemir Karabuk,2,1,2012/2013,13.05,20:00,0 - 0,2 - 1,"[""58' 1 - 0 Ucar U. (Own goal)"", ""79' 2 - 1 Chahechouhe A.""]","[""73' 1 - 1 Unal G.""]","[""77' Nas M. Kilic E."", ""84' Pedriel R. Chahechouhe A."", ""89' Yerlikaya H. Grosicki K.""]","[""60' Varol G. Shelton L."", ""66' Unal G. Ucar U."", ""81' Hamroun J. Ozek A.""]","[""86' Arslan H.""]",[],[],[],,,,
Turkey,super-lig,Trabzonspor,Basaksehir,4,3,2012/2013,13.05,20:00,3 - 1,1 - 2,"[""19' 1 - 0 Adin O."", ""23' 2 - 0 Sen V."", ""37' 3 - 1 Altintop H."", ""84' 4 - 2 Oztekin Y.""]","[""34' 2 - 1 Madureira D."", ""57' 3 - 2 Zayatte K."", ""90' 4 - 3 Zenke S.""]","[""60' Sapara M. Mierzejewski A."", ""69' Oztekin Y. Sen V."", ""86' Zokora D. Aydogdu S.""]","[""26' Madureira D. Sokullu O. C."", ""46' Zenke S. Inanc E."", ""77' Visca E. Geraldes""]","[""69' Sen V.""]",[],[],[],,,,
Turkey,super-lig,Fenerbahce,Galatasaray,2,1,2012/2013,12.05,20:00,2 - 1,0 - 0,"[""33' 1 - 1 Webo P."", ""36' 2 - 1 Webo P.""]","[""25' 0 - 1 Yilmaz B. (Penalty)""]","[""63' Ucan S. Belozoglu E."", ""67' Erkin C. Meireles R."", ""81' Topuz M. Webo P.""]","[""46' Amrabat N. Elmander J."", ""75' Sarioglu S. Altintop H."", ""81' Yilmaz A. Eboue E.""]","[""24' Gonul G."", ""84' Erkin C.""]","[""90' Sarioglu S.""]","[""90' Demirel V.""]","[""90' Sarioglu S.""]",,,,
Turkey,super-lig,Antalyaspor,Orduspor,1,0,2012/2013,11.05,20:00,0 - 0,1 - 0,"[""46' 1 - 0 Sismanoglu O.""]",[],"[""13' Duruer M. Janda P."", ""46' Diarra L. Aissati I."", ""69' Bassan E. Promise I.""]","[""46' Torun M. Barral D."", ""83' Roversio Ayila Y."", ""88' Kocatepe Y. Tasdemir A.""]","[""41' Aissati I."", ""90' Sismanoglu O.""]","[""8' Sahin S.""]",[],"[""8' Sahin S.""]",,,,
Turkey,super-lig,Bursaspor,Konyaspor,0,0,2014/2015,30.05,19:00,0 - 0,0 - 0,[],[],"[""46' Ersoy E. Traore B."", ""71' Belluschi F. Holmen S."", ""86' Behich A. Bakambu C.""]","[""60' Kabze H. Ozer K."", ""60' Djalma Sahiner O."", ""85' Bora V. Fuchs B.""]","[""42' Aziz S.""]","[""43' Rangelov D.""]","[""43' Aziz S.""]","[""43' Rangelov D.""]",Cakir C.  (Tur),Bursa Atatürk Stadyumu  (Bursa),25 661,
